play_id,game_id,posteam,defteam,side_of_field,yardline_100,down,yrdln,ydstogo,play_type,yards_gained,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,defteam_score,score_differential,posteam_score_post,defteam_score_post,score_differential_post,epa,wp,def_wp,home_wp,away_wp,fumble_forced,fumble_out_of_bounds,safety,penalty,tackled_for_loss,fumble_lost,touchdown,pass_touchdown,rush_touchdown,return_touchdown,field_goal_attempt,fumble,passing_yards,receiving_yards,rushing_yards,fixed_drive_result,drive_time_of_possession,drive_end_transition,qb_epa,description
623,2024_01_DEN_SEA,DEN,SEA,DEN,67,1,DEN 33,10,run,3,,,,,right,end,0,3,3,0,3,-0.234362474,0.64141643,0.35858357,0.35858357,0.64141643,0,0,0,0,0,0,0,0,0,0,0,0,,,3,Punt,1:24,PUNT,-0.234362474,(7:02) 33-J.Williams right end ran ob at DEN 36 for 3 yards (20-J.Love).
657,2024_01_DEN_SEA,DEN,SEA,DEN,64,2,DEN 36,7,run,4,,,,,right,end,0,3,3,0,3,-0.216077481,0.648999214,0.351000786,0.351000786,0.648999214,0,0,0,0,0,0,0,0,0,0,0,0,,,4,Punt,1:24,PUNT,-0.216077481,(6:25) (Shotgun) 38-J.McLaughlin right end pushed ob at DEN 40 for 4 yards (21-D.Witherspoon).
689,2024_01_DEN_SEA,DEN,SEA,DEN,60,3,DEN 40,3,pass,0,short,left,5,,,,0,3,3,0,3,-1.644464515,0.619923294,0.380076706,0.380076706,0.619923294,0,0,0,0,0,0,0,0,0,0,0,0,,,,Punt,1:24,PUNT,-1.644464515,(5:47) (Shotgun) 10-B.Nix pass incomplete short left to 84-L.Humphrey.
712,2024_01_DEN_SEA,DEN,SEA,DEN,60,4,DEN 40,3,punt,0,,,,,,,0,3,3,0,3,-0.233801166,0.604601204,0.395398796,0.395398796,0.604601204,0,0,0,0,0,0,0,0,0,0,0,0,,,,Punt,1:24,PUNT,-0.233801166,"(5:44) 9-R.Dixon punts 38 yards to SEA 22, Center-48-M.Fraboni, fair catch by 33-D.Williams."
741,2024_01_DEN_SEA,SEA,DEN,SEA,78,1,SEA 22,10,run,4,,,,,left,guard,3,-3,0,3,-3,0.044774818,0.436577648,0.563422352,0.436577648,0.563422352,0,0,0,0,0,0,0,0,0,0,0,0,,,4,Field goal,2:57,FIELD_GOAL,0.044774818,(5:38) 26-Z.Charbonnet left guard to SEA 26 for 4 yards (6-P.Locke).
770,2024_01_DEN_SEA,SEA,DEN,SEA,74,2,SEA 26,6,pass,9,short,right,1,8,,,3,-3,0,3,-3,0.969446968,0.42560339,0.57439661,0.42560339,0.57439661,0,0,0,0,0,0,0,0,0,0,0,0,9,9,,Field goal,2:57,FIELD_GOAL,0.969446968,"(5:19) (No Huddle, Shotgun) 7-G.Smith pass short right to 11-J.Smith-Njigba to SEA 35 for 9 yards (21-R.Moss; 22-B.Jones)."
795,2024_01_DEN_SEA,SEA,DEN,SEA,65,1,SEA 35,10,no_play,0,,,,,,,3,-3,0,3,-3,0.629694843,0.458584934,0.541415066,0.458584934,0.541415066,0,0,0,1,0,0,0,0,0,0,0,0,,,,Field goal,2:57,FIELD_GOAL,0.629694843,"(4:52) (No Huddle, Shotgun) PENALTY on DEN-0-J.Cooper, Neutral Zone Infraction, 5 yards, enforced at SEA 35 - No Play."
819,2024_01_DEN_SEA,SEA,DEN,SEA,60,1,SEA 40,5,pass,10,short,right,5,5,,,3,-3,0,3,-3,0.379442168,0.465936244,0.534063756,0.465936244,0.534063756,0,0,0,0,0,0,0,0,0,0,0,0,10,10,,Field goal,2:57,FIELD_GOAL,0.379442168,(4:39) (Shotgun) 7-G.Smith pass short right to 11-J.Smith-Njigba pushed ob at 50 for 10 yards (2-P.Surtain).
849,2024_01_DEN_SEA,SEA,DEN,50,50,1,MID 50,10,no_play,0,,,,,,,3,-3,0,3,-3,0.859232572,0.476985157,0.523014843,0.476985157,0.523014843,0,0,0,1,0,0,0,0,0,0,0,0,,,,Field goal,2:57,FIELD_GOAL,0.859232572,"(3:59) (Shotgun) 7-G.Smith pass incomplete deep right to 14-D.Metcalf. SEA-74-G.Fant was injured during the play. PENALTY on DEN-15-N.Bonitto, Roughing the Passer, 15 yards, enforced at 50 - No Play. Penalty on DEN-2-P.Surtain, Defensive Holding, declined."
886,2024_01_DEN_SEA,SEA,DEN,DEN,35,1,DEN 35,10,pass,0,short,left,-3,3,,,3,-3,0,3,-3,-0.513694404,0.535716295,0.464283705,0.535716295,0.464283705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Field goal,2:57,FIELD_GOAL,-0.513694404,"(3:56) (Shotgun) 7-G.Smith pass short left to 1-L.Shenault to DEN 35 for no gain (29-J.McMillian, 21-R.Moss)."
911,2024_01_DEN_SEA,SEA,DEN,DEN,35,2,DEN 35,10,run,3,,,,,right,tackle,3,-3,0,3,-3,-0.388913828,0.519016564,0.480983436,0.519016564,0.480983436,0,0,0,0,0,0,0,0,0,0,0,0,,,3,Field goal,2:57,FIELD_GOAL,-0.388913828,(3:20) (Shotgun) 9-K.Walker right tackle to DEN 32 for 3 yards (22-B.Jones; 29-J.McMillian).
933,2024_01_DEN_SEA,SEA,DEN,DEN,32,3,DEN 32,7,pass,0,short,right,9,,,,3,-3,0,3,-3,-1.763454434,0.486599177,0.513400823,0.486599177,0.513400823,0,0,0,0,0,0,0,0,0,0,0,0,,,,Field goal,2:57,FIELD_GOAL,-1.763454434,"(2:49) (No Huddle, Shotgun) 7-G.Smith pass incomplete short right to 83-D.Young [15-N.Bonitto]."
956,2024_01_DEN_SEA,SEA,DEN,DEN,32,4,DEN 32,7,field_goal,0,,,,,,,3,-3,3,3,0,1.820186812,0.442037255,0.557962745,0.442037255,0.557962745,0,0,0,0,0,0,0,0,0,0,1,0,,,,Field goal,2:57,FIELD_GOAL,1.820186812,"(2:46) 5-J.Myers 50 yard field goal is GOOD, Center-41-C.Stoll, Holder-4-M.Dickson."
976,2024_01_DEN_SEA,DEN,SEA,SEA,35,,SEA 35,0,kickoff,0,,,,,,,3,0,3,3,0,0.292112341,0.493118286,0.506881714,0.506881714,0.493118286,0,0,0,0,0,0,0,0,0,0,0,0,,,,Turnover,6:13,INTERCEPTION,0.292112341,"5-J.Myers kicks 65 yards from SEA 35 to end zone, Touchback to the DEN 30."
993,2024_01_DEN_SEA,DEN,SEA,DEN,70,1,DEN 30,10,pass,4,short,right,2,2,,,3,0,3,3,0,-0.076016091,0.500234962,0.499765038,0.499765038,0.500234962,0,0,0,0,0,0,0,0,0,0,0,0,4,4,,Turnover,6:13,INTERCEPTION,-0.076016091,(2:41) 10-B.Nix pass short right to 14-C.Sutton to DEN 34 for 4 yards (53-B.Mafe).
1023,2024_01_DEN_SEA,DEN,SEA,DEN,66,2,DEN 34,6,pass,3,short,left,-4,7,,,3,0,3,3,0,-0.285994156,0.50514406,0.49485594,0.49485594,0.50514406,0,0,0,0,0,0,0,0,0,0,0,0,3,3,,Turnover,6:13,INTERCEPTION,-0.285994156,(2:03) (Shotgun) 10-B.Nix pass short left to 11-J.Reynolds to DEN 37 for 3 yards (20-J.Love).
1053,2024_01_DEN_SEA,DEN,SEA,DEN,63,3,DEN 37,3,run,3,,,,,right,end,3,0,3,3,0,1.018160418,0.485083103,0.514916897,0.514916897,0.485083103,0,0,0,0,0,0,0,0,0,0,0,0,,,3,Turnover,6:13,INTERCEPTION,1.018160418,"(1:21) (Shotgun) 10-B.Nix scrambles right end to DEN 39 for 2 yards (21-D.Witherspoon). Official measurement. Denver challenged the short of the line to gain ruling, and the play was REVERSED. (Shotgun) 10-B.Nix scrambles right end to DEN 40 for 3 yards (21-D.Witherspoon). Official measurement."
1122,2024_01_DEN_SEA,DEN,SEA,DEN,60,1,DEN 40,10,pass,0,deep,middle,25,,,,3,0,3,3,0,-0.500576259,0.521846771,0.478153229,0.478153229,0.521846771,0,0,0,0,0,0,0,0,0,0,0,0,,,,Turnover,6:13,INTERCEPTION,-0.500576259,(:56) (Shotgun) 10-B.Nix pass incomplete deep middle to 14-C.Sutton.
1145,2024_01_DEN_SEA,DEN,SEA,DEN,60,2,DEN 40,10,pass,9,short,left,-2,11,,,3,0,3,3,0,0.764594033,0.506182075,0.493817925,0.493817925,0.506182075,0,0,0,0,0,0,0,0,0,0,0,0,9,9,,Turnover,6:13,INTERCEPTION,0.764594033,(:51) (Shotgun) 10-B.Nix pass short left to 17-D.Vele to DEN 49 for 9 yards (0-T.Dodson).
1175,2024_01_DEN_SEA,DEN,SEA,DEN,51,3,DEN 49,1,run,4,,,,,right,end,3,0,3,3,0,0.642596559,0.515850484,0.484149516,0.484149516,0.515850484,0,0,0,0,0,0,0,0,0,0,0,0,,,4,Turnover,6:13,INTERCEPTION,0.642596559,(:09) 33-J.Williams right end to SEA 47 for 4 yards (20-J.Love).
1197,2024_01_DEN_SEA,DEN,SEA,,,,SEA 47,0,,,,,,,,,3,0,3,3,0,0,0.547052026,0.452947974,0.452947974,0.547052026,,,,,,,,,,,,,,,,Turnover,6:13,INTERCEPTION,0,END QUARTER 1
1217,2024_01_DEN_SEA,DEN,SEA,SEA,47,1,SEA 47,10,run,12,,,,,right,guard,3,0,3,3,0,0.901619843,0.547052026,0.452947974,0.452947974,0.547052026,1,0,0,0,0,0,0,0,0,0,0,1,,,12,Turnover,6:13,INTERCEPTION,0.901619843,"(15:00) 23-A.Estime right guard to SEA 34 for 13 yards (20-J.Love). FUMBLES (20-J.Love), recovered by DEN-82-A.Trautman at SEA 35. 82-A.Trautman to SEA 33 for 2 yards."
1255,2024_01_DEN_SEA,DEN,SEA,SEA,33,1,SEA 33,10,run,4,,,,,middle,,3,0,3,3,0,-0.046849918,0.596315026,0.403684974,0.403684974,0.596315026,0,0,0,0,0,0,0,0,0,0,0,0,,,4,Turnover,6:13,INTERCEPTION,-0.046849918,(14:13) 33-J.Williams up the middle to SEA 29 for 4 yards (55-D.Jones).
1277,2024_01_DEN_SEA,DEN,SEA,SEA,29,2,SEA 29,6,run,7,,,,,left,end,3,0,3,3,0,0.867110236,0.601688623,0.398311377,0.398311377,0.601688623,0,0,0,0,0,0,0,0,0,0,0,0,,,7,Turnover,6:13,INTERCEPTION,0.867110236,(13:32) 38-J.McLaughlin left end to SEA 22 for 7 yards (20-J.Love).
1299,2024_01_DEN_SEA,DEN,SEA,SEA,22,1,SEA 22,10,pass,3,short,right,0,3,,,3,0,3,3,0,-0.332404625,0.616226196,0.383773804,0.383773804,0.616226196,0,0,0,0,0,0,0,0,0,0,0,0,3,3,,Turnover,6:13,INTERCEPTION,-0.332404625,(12:51) (Shotgun) 10-B.Nix pass short right to 17-D.Vele pushed ob at SEA 19 for 3 yards (21-D.Witherspoon).
1329,2024_01_DEN_SEA,DEN,SEA,SEA,19,2,SEA 19,7,pass,-2,short,right,-6,4,,,3,0,3,3,0,-0.799158265,0.611042023,0.388957977,0.388957977,0.611042023,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,,Turnover,6:13,INTERCEPTION,-0.799158265,(12:15) (Shotgun) 10-B.Nix pass short right to 38-J.McLaughlin to SEA 21 for -2 yards (17-J.Baker).
1354,2024_01_DEN_SEA,DEN,SEA,SEA,21,3,SEA 21,9,pass,0,deep,left,20,,,,3,0,3,3,0,-2.911557814,0.579820156,0.420179844,0.420179844,0.579820156,0,0,0,0,0,0,0,0,0,0,0,0,,,,Turnover,6:13,INTERCEPTION,-2.911557814,(11:34) (Shotgun) 10-B.Nix pass deep left intended for 14-C.Sutton INTERCEPTED by 20-J.Love [99-L.Williams] at SEA 1. 20-J.Love ran ob at SEA 1 for no gain.
1386,2024_01_DEN_SEA,SEA,DEN,SEA,99,1,SEA 1,10,no_play,0,,,,,,,3,0,3,5,-2,-1.594400565,0.511369228,0.488630772,0.511369228,0.488630772,0,0,1,1,0,0,0,0,0,0,0,0,,,,Safety,0:06,SAFETY,-1.594400565,"(11:28) (Shotgun) 7-G.Smith pass incomplete short left to 14-D.Metcalf (6-P.Locke). PENALTY on SEA-75-A.Bradford, Offensive Holding, 1 yard, enforced in End Zone, SAFETY - No Play."
1427,2024_01_DEN_SEA,DEN,SEA,SEA,20,,SEA 20,0,kickoff,0,,,,,,,3,2,5,3,2,0.455719812,0.632611573,0.367388427,0.367388427,0.632611573,0,0,0,0,0,0,0,0,0,0,0,0,,,,Punt,1:07,PUNT,0.455719812,5-J.Myers kicks 65 yards from SEA 20 to DEN 15. 19-M.Mims to DEN 32 for 17 yards (38-B.Russell).
1450,2024_01_DEN_SEA,DEN,SEA,DEN,68,1,DEN 32,10,run,4,,,,,middle,,3,2,5,3,2,-0.097187151,0.644885659,0.355114341,0.355114341,0.644885659,0,0,0,0,0,0,0,0,0,0,0,0,,,4,Punt,1:07,PUNT,-0.097187151,(11:18) 10-B.Nix scrambles up the middle to DEN 36 for 4 yards (0-T.Dodson).
1472,2024_01_DEN_SEA,DEN,SEA,DEN,64,2,DEN 36,6,pass,0,short,right,1,,,,3,2,5,3,2,-0.768219961,0.649481833,0.350518167,0.350518167,0.649481833,0,0,0,0,0,0,0,0,0,0,0,0,,,,Punt,1:07,PUNT,-0.768219961,(10:35) 10-B.Nix pass incomplete short right to 80-G.Dulcich [58-D.Hall].
